############################
#
#Z = 2.5  Snap 63
#Mass Criteria :  5e9 > mstar > 7e8   Mhalo > 5e9
#
#IDPrime   IDSecond   3D Rp   3D Vel    MdarkPrime  MdarkSecond    MstarPrime  MstarSecond
37             38       29      233     6.5e9       6.2e9       1.1e9             1.2e9
7517        7523        26      168     1.4e10      7.9e9       3.2e9             4.3e9
24903       24905       23      299     7.4e9       5.7e9       1.8e9             3.2e9
34562       34564       23      288     8.2e9       5.0e9       2.6e9             2.2e9
41281       41283       29      237     6.9e9       5.3e9       3.1e9             1.4e9
45929       45930       24      242     6.3e9       6.4e9       4.4e9              3.3e9
48013       48014       42      288     5.6e9       5.1e9       1.3e9              9e8
118195     118196       40      56      4.5e11      7.7e9        3.2e9              9.7e8
132394     132395       18      128     3.7e11      5.4e9         2.8e9              8.4e8
136026     136027       47      203     3.3e11      8.8e9         3.2e9              7.4e8
144055     144056       46      38      3.0e11      7.8e9         3.7e9              7.2e8
164309     164310       45      30      2.4e11      8.5e9         1.4e9              7.7e8

